VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-04-01 00:00:00,2016-04-01 00:01:59,1,.50,-73.976882934570313,40.758495330810547,1,N,-73.977668762207031,40.753902435302734,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2016-04-01 00:00:00,2016-04-01 00:12:07,2,2.20,-73.985206604003906,40.757293701171875,1,N,-73.989288330078125,40.732658386230469,1,10,0.5,0.5,2.25,0,0.3,13.55
2,2016-04-01 00:00:00,2016-04-01 00:10:41,2,.96,-73.979202270507812,40.758869171142578,1,N,-73.990676879882813,40.751319885253906,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2016-04-01 00:00:00,2016-04-01 00:10:30,5,1.54,-73.984855651855469,40.767723083496094,1,N,-73.990829467773437,40.751186370849609,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2016-04-01 00:00:00,2016-04-01 00:00:00,2,10.45,-73.863739013671875,40.76947021484375,1,N,-73.976814270019531,40.775283813476563,1,34,0,0.5,8.07,5.54,0.3,48.41
1,2016-04-01 00:00:01,2016-04-01 00:15:04,1,3.50,-73.973373413085937,40.757076263427734,1,N,-73.9334716796875,40.766304016113281,1,14,0.5,0.5,3,0,0.3,18.3
1,2016-04-01 00:00:01,2016-04-01 00:08:10,1,4.40,-73.790092468261719,40.647083282470703,1,N,-73.793914794921875,40.667373657226563,2,13.5,0.5,0.5,0,0,0.3,14.8
1,2016-04-01 00:00:01,2016-04-01 00:03:46,1,.60,-73.988899230957031,40.745426177978516,1,N,-73.9918212890625,40.738445281982422,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2016-04-01 00:00:01,2016-04-01 00:03:27,2,.81,-73.985275268554688,40.747364044189453,1,N,-73.98565673828125,40.755081176757813,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2016-04-01 00:00:02,2016-04-01 00:04:31,1,.80,0,0,1,N,-73.977691650390625,40.753875732421875,2,5,0.5,0.5,0,0,0.3,6.3
1,2016-04-01 00:00:02,2016-04-01 00:06:56,2,1.80,-73.979751586914063,40.780948638916016,1,N,-73.966621398925781,40.802837371826172,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-04-01 00:00:02,2016-04-01 00:36:59,3,8.48,-73.995780944824219,40.744110107421875,1,N,-73.949203491210938,40.663211822509766,1,30.5,0.5,0.5,7.95,0,0.3,39.75
2,2016-04-01 00:00:02,2016-04-01 00:07:08,1,1.95,-73.958106994628906,40.713748931884766,1,N,-73.990043640136719,40.719291687011719,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2016-04-01 00:00:02,2016-04-01 00:04:42,4,.62,-74.004730224609375,40.719165802001953,1,N,-74.002861022949219,40.723361968994141,2,5,0.5,0.5,0,0,0.3,6.3
1,2016-04-01 00:00:03,2016-04-01 00:34:32,1,8.90,-73.855316162109375,40.727783203125,1,N,-73.987579345703125,40.740676879882813,1,31.5,0.5,0.5,3,0,0.3,35.8
1,2016-04-01 00:00:03,2016-04-01 00:17:55,1,4.80,-73.984786987304688,40.768508911132813,1,N,-73.936721801757813,40.813861846923828,1,17,0.5,0.5,3.65,0,0.3,21.95
1,2016-04-01 00:00:03,2016-04-01 00:15:36,2,11.20,-73.776748657226562,40.645179748535156,1,N,-73.83038330078125,40.769699096679688,2,30.5,0.5,0.5,0,0,0.3,31.8
1,2016-04-01 00:00:03,2016-04-01 00:23:07,2,4.80,-73.994255065917969,40.761558532714844,1,N,-74.012046813964844,40.707130432128906,1,18.5,0.5,0.5,3.96,0,0.3,23.76
2,2016-04-01 00:00:03,2016-04-01 00:04:28,2,1.25,-73.986328125,40.722091674804687,1,N,-73.974555969238281,40.732856750488281,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2016-04-01 00:00:04,2016-04-01 00:16:21,1,2.00,-73.988471984863281,40.721363067626953,1,N,-73.992546081542969,40.741230010986328,1,12,0.5,0.5,2.65,0,0.3,15.95
1,2016-04-01 00:00:04,2016-04-01 00:06:58,1,2.10,-73.944450378417969,40.725547790527344,1,N,-73.927993774414063,40.705501556396484,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2016-04-01 00:00:04,2016-04-01 00:05:09,5,1.99,-73.954238891601563,40.778087615966797,1,N,-73.936378479003906,40.802928924560547,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2016-04-01 00:00:04,2016-04-01 00:15:46,5,3.31,-73.98486328125,40.744388580322266,1,N,-74.010032653808594,40.712661743164062,1,13.5,0.5,0.5,2.96,0,0.3,17.76
2,2016-04-01 00:00:05,2016-04-01 00:08:51,1,1.44,-73.934112548828125,40.696331024169922,1,N,-73.949043273925781,40.712230682373047,1,8,0.5,0.5,0,0,0.3,9.3
2,2016-04-01 00:00:05,2016-04-01 00:06:37,5,1.37,-73.985565185546875,40.746822357177734,1,N,-73.985008239746094,40.732433319091797,1,7,0.5,0.5,1,0,0.3,9.3
2,2016-04-01 00:00:05,2016-04-01 00:11:02,5,2.12,-73.975677490234375,40.753036499023438,1,N,-73.954971313476562,40.769207000732422,1,10,0.5,0.5,5,0,0.3,16.3
1,2016-04-01 00:00:06,2016-04-01 00:16:28,1,3.90,-73.990882873535156,40.733547210693359,1,N,-73.991401672363281,40.688236236572266,2,15,0.5,0.5,0,0,0.3,16.3
1,2016-04-01 00:00:06,2016-04-01 00:06:35,1,1.40,-73.988937377929687,40.748756408691406,1,N,-73.973762512207031,40.764381408691406,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2016-04-01 00:00:06,2016-04-01 00:21:59,5,10.83,-73.873138427734375,40.773899078369141,1,N,-73.980781555175781,40.763248443603516,2,31.5,0.5,0.5,0,5.54,0.3,38.34
2,2016-04-01 00:00:06,2016-04-01 00:54:09,1,23.42,-73.776779174804688,40.645450592041016,1,N,-73.999153137207031,40.678211212158203,1,69.5,0.5,0.5,5,0,0.3,75.8
2,2016-04-01 00:00:06,2016-04-01 00:02:52,1,.62,-73.995613098144531,40.749301910400391,1,N,-73.99322509765625,40.744121551513672,1,4,0.5,0.5,1.59,0,0.3,6.89
1,2016-04-01 00:00:07,2016-04-01 00:10:25,1,7.00,-73.971435546875,40.795009613037109,1,N,-73.916961669921875,40.879619598388672,1,20,0.5,0.5,4.75,2.54,0.3,28.59
1,2016-04-01 00:00:07,2016-04-01 00:08:11,4,1.10,-73.982017517089844,40.763225555419922,1,N,-73.992851257324219,40.770191192626953,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2016-04-01 00:00:07,2016-04-01 00:13:58,1,3.70,-73.992454528808594,40.689487457275391,1,N,-74.004005432128906,40.646770477294922,1,13.5,0.5,0.5,2.2,0,0.3,17
1,2016-04-01 00:00:07,2016-04-01 00:21:35,1,4.40,-73.955841064453125,40.714031219482422,1,N,-73.921829223632813,40.682781219482422,1,17.5,0.5,0.5,3.75,0,0.3,22.55
1,2016-04-01 00:00:07,2016-04-01 00:09:27,1,.70,-73.981819152832031,40.755889892578125,1,N,-73.986183166503906,40.752559661865234,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-04-01 00:00:07,2016-04-01 00:13:53,1,3.29,-73.971855163574219,40.794418334960938,1,N,-73.943534851074219,40.835689544677734,1,13.5,0.5,0.5,2.96,0,0.3,17.76
