vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount

VTS,2012-06-12 09:44:00,2012-06-12 09:45:00,1,0.17000000000000001,-73.977356999999998,40.761192000000001,1,,-73.978863000000004,40.762155,CSH,2.8999999999999999,0,0.5,0,0,3.3999999999999999
CMT,2012-06-12 11:50:25,2012-06-12 12:18:53,1,2.7999999999999998,-73.978159000000005,40.751348,1,N,-73.945857000000004,40.775246000000003,CSH,15.300000000000001,0,0.5,0,0,15.800000000000001
CMT,2012-06-12 11:29:12,2012-06-12 11:46:59,1,3.7000000000000002,-73.993988000000002,40.761406999999998,1,N,-74.007420999999994,40.726520000000001,CRD,12.5,0,0.5,2.6000000000000001,0,15.6
VTS,2012-06-12 11:29:00,2012-06-12 12:03:00,1,10,-73.873410000000007,40.774011999999999,1,,-74.002347,40.740631999999998,CRD,27.699999999999999,0,0.5,6.9199999999999999,4.7999999999999998,39.920000000000002
VTS,2012-06-12 11:30:00,2012-06-12 11:38:00,1,0.85999999999999999,-73.975733000000005,40.759506999999999,1,,-73.969686999999993,40.753442,CRD,5.2999999999999998,0,0.5,1,0,6.7999999999999998
CMT,2012-06-12 07:43:42,2012-06-12 07:58:04,1,3.6000000000000001,-74.010270000000006,40.713372,1,N,-73.979577000000006,40.757593999999997,CRD,11.300000000000001,0,0.5,1,0,12.800000000000001
VTS,2012-06-12 07:44:00,2012-06-12 07:57:00,1,1.77,-74.007694999999998,40.740738,1,,-74.000397000000007,40.720616999999997,CRD,8.5,0,0.5,7.0000000000000007E-2,0,9.0700000000000003
CMT,2012-06-12 12:24:59,2012-06-12 12:37:42,1,1.2,-73.995805000000004,40.748888000000001,1,N,-73.980024999999998,40.753239999999998,CSH,8.0999999999999996,0,0.5,0,0,8.5999999999999996
CMT,2012-06-12 07:06:33,2012-06-12 07:11:35,1,1.5,-73.975842,40.748897999999997,1,N,-73.985147999999995,40.732149999999997,CSH,5.7000000000000002,0,0.5,0,0,6.2000000000000002
CMT,2012-06-12 11:50:28,2012-06-12 12:13:49,1,3.7000000000000002,-73.993363000000002,40.746408000000002,1,N,-73.966235999999995,40.789833000000002,CRD,14.1,0,0.5,3.6499999999999999,0,18.25
VTS,2012-06-12 12:26:00,2012-06-12 12:35:00,5,1.1699999999999999,-73.996155000000002,40.742530000000002,1,,-74.003122000000005,40.741042,CRD,6.0999999999999996,0,0.5,2,0,8.5999999999999996
