vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt

VTS,2009-12-17 07:35:00,2009-12-17 07:40:00,1,0.11,-73.987927999999997,40.737884999999999,,,-73.990335000000002,40.748449999999998,Credit,4.9000000000000004,0,0.5,1,0,6.4000000000000004
VTS,2009-12-21 14:19:00,2009-12-21 14:24:00,1,1.0700000000000001,-73.956007999999997,40.779558000000002,,,-73.967303000000001,40.787832999999999,CASH,4.9000000000000004,0,0.5,0,0,5.4000000000000004
VTS,2009-12-18 03:09:00,2009-12-18 03:34:00,1,8.9800000000000004,-73.955744999999993,40.689503000000002,,,-73.937730000000002,40.737462999999998,CASH,23.699999999999999,0.5,0.5,0,0,24.699999999999999
VTS,2009-12-14 21:24:00,2009-12-14 21:33:00,2,1.6599999999999999,-73.983985000000004,40.754644999999996,,,-73.986194999999995,40.737609999999997,Credit,6.9000000000000004,0.5,0.5,3,0,10.9
VTS,2009-12-18 08:17:00,2009-12-18 08:29:00,1,1.55,-73.959131999999997,40.769264999999997,,,-73.976267000000007,40.760615000000001,CASH,7.7000000000000002,0,0.5,0,0,8.1999999999999993
VTS,2009-12-17 12:33:00,2009-12-17 12:36:00,1,0.56999999999999995,-73.982212000000004,40.783087999999999,,,-73.988546999999997,40.778616999999997,CASH,4.0999999999999996,0,0.5,0,0,4.5999999999999996
VTS,2009-12-14 15:02:00,2009-12-14 15:13:00,1,1.52,0,0,,,0,0,CASH,7.2999999999999998,0,0.5,0,0,7.7999999999999998
VTS,2009-12-21 09:02:00,2009-12-21 09:15:00,2,1.74,-73.982119999999995,40.776826999999997,,,-73.960858000000002,40.774900000000002,CASH,8.5,0,0.5,0,0,9
VTS,2009-12-18 09:19:00,2009-12-18 09:27:00,1,1.8300000000000001,-73.984804999999994,40.741872999999998,,,-73.964950000000002,40.755343000000003,CASH,6.9000000000000004,0,0.5,0,0,7.4000000000000004
VTS,2009-12-18 13:59:00,2009-12-18 14:25:00,1,6.54,0,0,,,0,0,CASH,20.100000000000001,0,0.5,0,0,20.600000000000001
