VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-01-01 00:30:03,2016-01-01 00:39:51,N,1,-73.946258544921875,40.821098327636719,-73.967994689941406,40.803050994873047,1,2.21,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2016-01-01 00:32:58,2016-01-01 00:39:53,N,1,-73.983039855957031,40.677593231201172,-73.997421264648437,40.683887481689453,1,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-01-01 00:34:53,2016-01-01 00:39:08,N,1,-73.943099975585938,40.6923828125,-73.957466125488281,40.690715789794922,6,.61,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-01-01 00:19:41,2016-01-01 00:39:32,N,1,-73.942230224609375,40.754131317138672,-73.960029602050781,40.690483093261719,5,5.34,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2016-01-01 00:22:06,2016-01-01 00:39:55,N,1,-73.830673217773438,40.759479522705078,-73.7598876953125,40.720901489257813,5,6.66,21,0.5,0.5,0,0,,0.3,22.3,2,1
2,2016-01-01 00:29:46,2016-01-01 00:40:04,N,1,-73.908607482910156,40.875617980957031,-73.931243896484375,40.813980102539062,1,5.03,16,0.5,0.5,0,0,,0.3,17.3,2,1
2,2016-01-01 00:19:02,2016-01-01 00:39:58,N,1,-73.991981506347656,40.690624237060547,-73.922996520996094,40.669261932373047,1,4.33,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-01-01 00:21:06,2016-01-02 00:18:46,N,1,-73.940780639648437,40.716381072998047,-73.976936340332031,40.738826751708984,1,5.66,19,0.5,0.5,0,0,,0.3,20.3,1,1
2,2016-01-01 00:26:34,2016-01-01 00:39:33,N,1,-73.913810729980469,40.848731994628906,-73.948738098144531,40.813407897949219,1,3.31,13,0.5,0.5,0,0,,0.3,14.3,1,1
2,2016-01-01 00:26:49,2016-01-01 00:39:36,N,1,-73.96405029296875,40.807868957519531,-73.935958862304688,40.803581237792969,1,1.97,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
