vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2011-09-22 00:42:49,2011-09-22 01:12:26,1,7.4000000000000004,-74.005213999999995,40.720140999999998,1,N,-73.919247999999996,40.765904999999997,CRD,22.5,0.5,0.5,4.7000000000000002,0,28.199999999999999
CMT,2011-09-22 00:57:44,2011-09-22 01:03:10,1,1.3,-73.985005999999998,40.728150999999997,1,N,-74.003617000000006,40.729235000000003,CRD,5.2999999999999998,0.5,0.5,1.5700000000000001,0,7.8700000000000001
CMT,2011-09-22 00:30:08,2011-09-22 00:40:01,1,2.3999999999999999,-73.996084999999994,40.738773000000002,1,N,-74.007142000000002,40.711655,CRD,8.5,0.5,0.5,1,0,10.5
CMT,2011-09-22 00:48:44,2011-09-22 01:05:25,1,11.199999999999999,-73.992169000000004,40.755732999999999,1,N,-73.908541999999997,40.893320000000003,CRD,25.699999999999999,0.5,0.5,8.6699999999999999,2.2000000000000002,37.57
CMT,2011-09-22 01:01:11,2011-09-22 01:04:43,1,0.69999999999999996,-73.993471999999997,40.729433999999998,1,N,-73.996294000000006,40.736274999999999,CRD,4.0999999999999996,0.5,0.5,1.02,0,6.1200000000000001
CMT,2011-09-19 09:45:49,2011-09-19 09:58:13,1,2.8999999999999999,-73.962215999999998,40.805401000000003,1,N,-73.960237000000006,40.772975000000002,CRD,10.1,0,0.5,2,0,12.6
CMT,2011-09-19 09:26:52,2011-09-19 09:32:24,2,1.1000000000000001,-73.969632000000004,40.785440999999999,1,Y,-73.983577999999994,40.781323999999998,CRD,5.2999999999999998,0,0.5,1.1599999999999999,0,6.96
CMT,2011-09-19 09:31:08,2011-09-19 09:35:46,1,0.90000000000000002,-73.995412000000002,40.733908,1,N,-73.983743000000004,40.726550000000003,CRD,4.9000000000000004,0,0.5,1.0800000000000001,0,6.4800000000000004
CMT,2011-09-19 09:47:51,2011-09-19 10:22:01,1,9.9000000000000004,-73.862921999999998,40.768892000000001,1,N,-73.973924999999994,40.790672999999998,CRD,26.5,0,0.5,7.9500000000000002,4.7999999999999998,39.75
CMT,2011-09-19 09:30:36,2011-09-19 09:49:01,3,3,-73.995170999999999,40.733969999999999,1,N,-73.983958999999999,40.767228000000003,CRD,11.699999999999999,0,0.5,2.4399999999999999,0,14.640000000000001
