VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-10-01 00:00:05,2015-10-01 00:15:14,1,8.56,-73.991424560546875,40.719333648681641,1,N,-73.857795715332031,40.719631195068359,1,24.5,0.5,0.5,5.16,0,0.3,30.96
1,2015-10-01 00:00:06,2015-10-01 00:18:54,1,3.90,-73.973426818847656,40.760944366455078,1,N,-74.009208679199219,40.73822021484375,1,16,0.5,0.5,3.46,0,0.3,20.76
2,2015-10-01 00:00:06,2015-10-01 00:08:07,1,1.77,-73.999679565429688,40.761871337890625,1,N,-73.976318359375,40.765411376953125,1,8,0.5,0.5,1,0,0.3,10.3
2,2015-10-01 00:00:06,2015-10-01 00:08:53,2,1.31,-73.989120483398437,40.731578826904297,1,N,-74.00384521484375,40.742900848388672,1,8,0.5,0.5,2.79,0,0.3,12.09
1,2015-10-01 00:00:07,2015-10-01 00:21:01,1,4.40,-73.995010375976563,40.743896484375,1,N,-73.964637756347656,40.712192535400391,1,18.5,0.5,0.5,3.95,0,0.3,23.75
1,2015-10-01 00:00:07,2015-10-01 00:07:27,1,1.40,-73.945167541503906,40.725532531738281,1,N,-73.958045959472656,40.715549468994141,2,7,0.5,0.5,0,0,0.3,8.3
2,2015-10-01 00:00:07,2015-10-01 00:10:00,1,3.54,-73.928741455078125,40.759181976318359,1,N,-73.951713562011719,40.773670196533203,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2015-10-01 00:00:07,2015-10-01 00:07:25,4,1.06,-73.985664367675781,40.735408782958984,1,N,-73.980857849121094,40.746883392333984,1,7,0.5,0.5,1.5,0,0.3,9.8
2,2015-10-01 00:00:07,2015-10-01 00:08:11,1,.94,-73.989921569824219,40.760650634765625,1,N,-73.995468139648438,40.767108917236328,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2015-10-01 00:00:07,2015-10-01 00:07:49,1,1.03,-73.9937744140625,40.720378875732422,1,N,-74.002052307128906,40.730094909667969,1,7,0.5,0.5,1,0,0.3,9.3
2,2015-10-01 00:00:07,2015-10-01 00:17:17,1,11.76,-73.863021850585938,40.769309997558594,1,N,-73.802192687988281,40.660419464111328,2,32,0.5,0.5,0,0,0.3,33.3
1,2015-10-01 00:00:08,2015-10-01 00:08:33,1,2.10,-73.940467834472656,40.793434143066406,1,N,-73.953094482421875,40.811897277832031,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2015-10-01 00:00:08,2015-10-01 00:21:52,2,5.10,-74.008041381835938,40.717010498046875,1,N,-73.946762084960938,40.687480926513672,1,19,0.5,0.5,4.05,0,0.3,24.35
2,2015-10-01 00:00:08,2015-10-01 00:16:58,1,4.33,-74.00054931640625,40.72747802734375,1,N,-73.990150451660156,40.775897979736328,1,15,0.5,0.5,2,0,0.3,18.3
1,2015-10-01 00:00:09,2015-10-01 00:15:01,1,2.00,-73.977760314941406,40.725921630859375,1,N,-74.004531860351563,40.721385955810547,1,11,0.5,0.5,1,0,0.3,13.3
1,2015-10-01 00:00:09,2015-10-01 00:07:38,1,1.20,-73.985710144042969,40.735370635986328,1,N,-73.982666015625,40.724113464355469,1,7,0.5,0.5,1.65,0,0.3,9.95
1,2015-10-01 00:00:09,2015-10-01 00:05:46,1,1.60,-73.982681274414063,40.772167205810547,1,N,-73.964530944824219,40.7730712890625,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2015-10-01 00:00:09,2015-10-01 00:08:09,5,1.80,-73.995018005371094,40.739841461181641,1,N,-74.001174926757813,40.720191955566406,2,8,0.5,0.5,0,0,0.3,9.3
2,2015-10-01 00:00:09,2015-10-01 00:13:33,1,6.82,-73.985206604003906,40.761310577392578,1,N,-73.944229125976563,40.837570190429688,1,20.5,0.5,0.5,3,0,0.3,24.8
2,2015-10-01 00:00:09,2015-10-01 00:03:20,1,.83,-73.961532592773438,40.7713623046875,1,N,-73.954483032226563,40.777336120605469,1,4.5,0.5,0.5,1.45,0,0.3,7.25
