VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-04-27 15:16:29,2015-04-27 15:26:14,1,1.05,-73.988868713378906,40.758396148681641,1,N,-73.984779357910156,40.748271942138672,2,7.5,0,0.5,0,0,0.3,8.3
2,2015-04-27 15:16:29,2015-04-27 15:25:03,1,2.67,-74.008567810058594,40.704479217529297,1,N,-73.978271484375,40.720542907714844,1,10.5,0,0.5,1,0,0.3,12.3
2,2015-04-27 15:16:29,2015-04-27 15:31:48,1,2.89,-73.994117736816406,40.756431579589844,1,N,-73.993263244628906,40.724441528320313,1,12.5,0,0.5,3.32,0,0.3,16.62
2,2015-04-27 15:16:29,2015-04-27 15:25:26,1,.94,-73.974388122558594,40.761665344238281,1,N,-73.985542297363281,40.756168365478516,2,7.5,0,0.5,0,0,0.3,8.3
2,2015-04-27 15:16:29,2015-04-27 15:45:38,1,2.30,-73.972183227539063,40.762725830078125,1,N,-73.9908447265625,40.75067138671875,2,17.5,0,0.5,0,0,0.3,18.3
2,2015-04-27 15:16:30,2015-04-27 15:34:43,5,2.50,-73.972091674804688,40.763172149658203,1,N,-73.948951721191406,40.794448852539063,1,13,0,0.5,3,0,0.3,16.8
2,2015-04-27 15:16:30,2015-04-27 15:53:44,1,9.57,-73.863868713378906,40.770084381103516,1,N,-73.986579895019531,40.758308410644531,1,34,0,0.5,10.08,5.54,0.3,50.42
2,2015-04-27 15:16:30,2015-04-27 15:39:29,1,8.39,-73.870979309082031,40.773769378662109,1,N,-73.972610473632812,40.749820709228516,1,26,0,0.5,5,5.54,0.3,37.34
2,2015-04-27 15:16:30,2015-04-27 15:26:35,6,1.27,-74.002853393554687,40.760486602783203,1,N,-73.9854736328125,40.759105682373047,1,8,0,0.5,1.76,0,0.3,10.56
2,2015-04-27 15:16:30,2015-04-27 15:30:38,3,1.41,-73.9803466796875,40.752971649169922,1,N,-73.9869384765625,40.764251708984375,2,10,0,0.5,0,0,0.3,10.8
2,2015-04-27 15:16:30,2015-04-27 15:23:22,1,.85,-73.953575134277344,40.785350799560547,1,N,-73.961204528808594,40.774879455566406,2,6,0,0.5,0,0,0.3,6.8
2,2015-04-27 15:16:30,2015-04-27 15:20:30,1,1.35,-74.001533508300781,40.722637176513672,1,N,-73.998519897460938,40.738121032714844,1,6,0,0.5,1.36,0,0.3,8.16
2,2015-04-27 15:16:31,2015-04-27 16:06:30,3,17.76,-73.782028198242188,40.644580841064453,2,N,-73.99298095703125,40.752418518066406,1,52,0,0.5,10.56,0,0.3,63.36
2,2015-04-27 15:16:31,2015-04-27 16:02:45,1,12.69,-73.862876892089844,40.76910400390625,1,N,-73.995658874511719,40.759254455566406,1,42.5,0,0.5,0.02,5.54,0.3,48.86
2,2015-04-27 15:16:31,2015-04-27 15:38:50,2,6.17,-74.014419555664063,40.703891754150391,1,N,-73.986106872558594,40.756340026855469,2,22.5,0,0.5,0,0,0.3,23.3
2,2015-04-27 15:16:32,2015-04-27 15:54:46,1,17.66,-73.786399841308594,40.641719818115234,2,N,-73.964256286621094,40.759048461914063,1,52,0,0.5,14.58,5.54,0.3,72.92
2,2015-04-27 15:16:32,2015-04-27 16:05:01,2,17.26,-73.970993041992187,40.758701324462891,2,N,-73.783409118652344,40.643768310546875,1,52,0,0.5,8,5.54,0.3,66.34
2,2015-04-27 15:16:33,2015-04-27 15:29:12,5,1.57,-73.971916198730469,40.765430450439453,1,N,-73.975257873535156,40.780158996582031,1,9.5,0,0.5,1,0,0.3,11.3
2,2015-04-27 15:16:33,2015-04-27 15:19:51,5,.35,-73.982162475585937,40.767730712890625,1,N,-73.977569580078125,40.764499664306641,2,4,0,0.5,0,0,0.3,4.8
2,2015-04-27 15:16:33,2015-04-27 15:20:20,1,.92,-73.974708557128906,40.787635803222656,1,N,-73.981803894042969,40.779502868652344,1,5.5,0,0.5,1.26,0,0.3,7.56
2,2015-04-27 15:16:34,2015-04-27 15:20:58,1,.76,-73.966102600097656,40.762100219726562,1,N,-73.958877563476562,40.768341064453125,1,5,0,0.5,1.16,0,0.3,6.96
2,2015-04-27 15:16:34,2015-04-27 15:56:51,6,16.26,-73.796745300292969,40.644672393798828,2,N,-73.983261108398438,40.745296478271484,1,52,0,0.5,17.5,5.54,0.3,75.84
2,2015-04-13 21:18:46,2015-04-13 21:36:56,6,10.08,-73.872749328613281,40.774200439453125,1,N,-73.974533081054687,40.757598876953125,1,29,0.5,0.5,8.96,5.54,0.3,44.8
2,2015-04-13 21:18:46,2015-04-13 21:24:52,3,1.43,-73.953216552734375,40.785938262939453,1,N,-73.957748413085937,40.769630432128906,1,7,0.5,0.5,1,0,0.3,9.3
2,2015-04-13 21:18:46,2015-04-13 21:21:18,1,.73,-73.97802734375,40.751983642578125,1,N,-73.99102783203125,40.757823944091797,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-04-13 21:18:46,2015-04-13 21:28:24,1,2.38,-73.953071594238281,40.783531188964844,1,N,-73.972152709960937,40.759769439697266,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2015-04-13 21:18:47,2015-04-13 21:36:48,1,3.56,-73.96820068359375,40.758590698242188,1,N,-74.00811767578125,40.738880157470703,1,14.5,0.5,0.5,2,0,0.3,17.8
2,2015-04-13 21:18:48,2015-04-13 21:39:58,2,11.50,-73.9649658203125,40.769577026367188,1,N,-73.981094360351563,40.655780792236328,1,32.5,0.5,0.5,8,5.54,0.3,47.34
2,2015-04-13 21:18:48,2015-04-13 21:22:54,5,1.53,-73.963768005371094,40.75537109375,1,N,-73.950141906738281,40.772140502929688,1,6,0.5,0.5,1.7,0,0.3,9
2,2015-04-13 21:18:49,2015-04-13 21:28:24,1,2.33,-73.98284912109375,40.76318359375,1,N,-74.003150939941406,40.734939575195313,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2015-04-13 21:18:49,2015-04-13 21:21:22,1,.60,-73.977058410644531,40.77978515625,1,N,-73.976432800292969,40.785606384277344,1,4,0.5,0.5,1,0,0.3,6.3
2,2015-04-13 21:18:49,2015-04-13 21:32:39,1,3.60,-74.007606506347656,40.715015411376953,1,N,-73.988006591796875,40.740608215332031,2,13.5,0.5,0.5,0,0,0.3,14.8
2,2015-04-13 21:18:49,2015-04-13 21:29:29,1,2.76,-73.982192993164063,40.777820587158203,1,N,-73.954666137695313,40.805381774902344,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-04-13 21:18:49,2015-04-13 21:22:12,1,.67,-73.963920593261719,40.71038818359375,1,N,-73.961776733398438,40.710781097412109,2,4,0.5,0.5,0,0,0.3,5.3
2,2015-04-13 21:18:49,2015-04-13 21:34:14,3,4.15,-74.006843566894531,40.744148254394531,1,N,-73.959281921386719,40.772518157958984,1,14.5,0.5,0.5,3.16,0,0.3,18.96
2,2015-04-13 21:18:50,2015-04-13 21:34:31,1,8.72,-73.874588012695312,40.774078369140625,1,N,-73.969718933105469,40.753185272216797,1,24.5,0.5,0.5,5,5.54,0.3,36.34
2,2015-04-13 21:18:50,2015-04-13 21:24:57,1,1.53,-74.000167846679688,40.737968444824219,1,N,-74.010635375976563,40.720195770263672,1,7,0.5,0.5,1,0,0.3,9.3
2,2015-04-13 21:18:50,2015-04-13 21:30:04,3,2.28,-73.978240966796875,40.748233795166016,1,N,-74.007347106933594,40.743278503417969,2,10,0.5,0.5,0,0,0.3,11.3
1,2015-04-04 18:38:44,2015-04-04 18:46:47,1,1.50,-73.950119018554687,40.777202606201172,1,N,-73.969108581542969,40.768394470214844,2,8,0,0.5,0,0,0.3,8.8
1,2015-04-04 18:38:44,2015-04-04 18:55:47,2,1.40,-74.004081726074219,40.742012023925781,1,N,-73.989151000976563,40.756679534912109,2,11.5,0,0.5,0,0,0.3,12.3
1,2015-04-04 18:38:44,2015-04-04 18:42:53,2,.70,-73.982086181640625,40.769481658935547,1,N,-73.990188598632812,40.766868591308594,1,5,0,0.5,1.5,0,0.3,7.3
1,2015-04-04 18:38:44,2015-04-04 18:41:28,1,.60,-73.981239318847656,40.759120941162109,1,N,-73.973716735839844,40.762882232666016,2,4.5,0,0.5,0,0,0.3,5.3
1,2015-04-04 18:38:45,2015-04-04 18:47:02,1,2.30,-73.982894897460938,40.763824462890625,1,N,-73.95867919921875,40.783454895019531,2,9,0,0.5,0,0,0.3,9.8
1,2015-04-04 18:38:45,2015-04-04 18:44:09,3,.60,-73.992057800292969,40.759220123291016,1,N,-74.000411987304688,40.758049011230469,1,5.5,0,0.5,1.55,0,0.3,7.85
1,2015-04-04 18:38:45,2015-04-04 18:52:23,4,2.50,-73.989166259765625,40.723075866699219,1,N,-73.991706848144531,40.748863220214844,2,11,0,0.5,0,0,0.3,11.8
1,2015-04-04 18:38:45,2015-04-04 18:52:23,1,2.30,0,0,1,N,0,0,1,10.5,0,0.5,2.26,0,0.3,13.56
1,2015-04-04 18:38:45,2015-04-04 18:46:50,2,1.20,-73.990531921386719,40.734085083007813,1,N,-73.998519897460938,40.719501495361328,1,7,0,0.5,1.56,0,0.3,9.36
1,2015-04-04 18:38:45,2015-04-04 18:43:37,2,.60,-73.968864440917969,40.760940551757813,1,N,-73.980316162109375,40.76483154296875,1,5,0,0.5,1.16,0,0.3,6.96
1,2015-04-04 18:38:45,2015-04-04 18:56:05,1,4.10,-73.982589721679688,40.766315460205078,1,N,-73.927833557128906,40.769725799560547,1,15,0,0.5,1.5,0,0.3,17.3
1,2015-04-04 18:38:45,2015-04-04 18:48:53,1,2.10,-73.986961364746094,40.729400634765625,1,N,-73.974174499511719,40.754501342773438,1,9.5,0,0.5,2.05,0,0.3,12.35
1,2015-04-04 18:38:46,2015-04-04 19:30:27,3,8.40,-73.782066345214844,40.644622802734375,1,N,-73.85614013671875,40.724372863769531,2,37.5,0,0.5,0,0,0.3,38.3
1,2015-04-04 18:38:46,2015-04-04 18:43:10,1,1.30,-73.963958740234375,40.768035888671875,1,N,-73.975776672363281,40.751785278320313,2,6,0,0.5,0,0,0.3,6.8
1,2015-04-04 18:38:46,2015-04-04 18:56:30,1,2.60,-73.978164672851562,40.729549407958984,1,N,-73.986412048339844,40.753990173339844,1,13,0,0.5,2.75,0,0.3,16.55
1,2015-04-04 18:38:46,2015-04-04 18:48:14,1,1.20,-74.005088806152344,40.718120574951172,1,N,-73.993850708007813,40.724491119384766,1,8,0,0.5,1,0,0.3,9.8
1,2015-04-04 18:38:46,2015-04-04 18:48:38,1,2.30,-73.985206604003906,40.763172149658203,1,N,-73.974685668945313,40.793140411376953,1,10,0,0.5,1.2,0,0.3,12
1,2015-04-04 18:38:46,2015-04-04 18:53:44,1,3.00,-73.987228393554688,40.7203369140625,1,N,-73.985153198242188,40.744426727294922,1,13.5,0,0.5,0.1,0,0.3,14.4
1,2015-04-04 18:38:46,2015-04-04 18:48:22,1,2.10,-73.97344970703125,40.764522552490234,1,N,-73.983879089355469,40.739788055419922,1,9.5,0,0.5,1,0,0.3,11.3
1,2015-04-04 18:38:47,2015-04-04 18:55:12,4,2.40,-73.983230590820313,40.763927459716797,1,N,-74.00689697265625,40.740493774414062,2,12.5,0,0.5,0,0,0.3,13.3
1,2015-04-04 18:38:47,2015-04-04 18:52:47,1,2.00,-73.987144470214844,40.760749816894531,1,N,-73.997024536132812,40.737533569335938,1,10.5,0,0.5,2.25,0,0.3,13.55
1,2015-04-04 18:38:47,2015-04-04 18:47:05,1,1.60,-73.998100280761719,40.761978149414063,1,N,-74.005706787109375,40.744369506835938,1,8,0,0.5,1.76,0,0.3,10.56
2,2015-04-09 19:29:30,2015-04-09 19:50:37,1,1.17,-73.989830017089844,40.756858825683594,1,N,-73.977935791015625,40.748798370361328,2,13,1,0.5,0,0,0.3,14.8
2,2015-04-09 19:29:31,2015-04-09 19:51:13,1,3.59,-73.954963684082031,40.765411376953125,1,N,-73.996269226074219,40.746841430664062,1,16,1,0.5,1.5,0,0.3,19.3
2,2015-04-09 19:29:31,2015-04-09 19:45:46,1,6.19,-74.008613586425781,40.705558776855469,1,N,-73.960227966308594,40.766189575195313,1,19.5,1,0.5,5.32,0,0.3,26.62
2,2015-04-09 19:29:32,2015-04-09 19:45:28,1,4.80,-74.01025390625,40.720611572265625,1,N,-73.982643127441406,40.777153015136719,1,16.5,1,0.5,4.58,0,0.3,22.88
2,2015-04-09 19:29:32,2015-04-09 19:48:07,1,2.91,-74.0086669921875,40.719318389892578,1,N,-73.980064392089844,40.743206024169922,1,13.5,1,0.5,3.06,0,0.3,18.36
2,2015-04-09 19:29:32,2015-04-09 19:43:24,1,5.46,-73.977920532226563,40.725399017333984,1,N,-74.001304626464844,40.683914184570313,1,17,1,0.5,5.64,0,0.3,24.44
2,2015-04-09 19:29:32,2015-04-09 19:39:09,5,1.38,-73.985145568847656,40.744762420654297,1,N,-73.982460021972656,40.731239318847656,1,8,1,0.5,1.96,0,0.3,11.76
