VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-12-01 00:00:00,2015-12-01 00:05:16,5,.96,-73.979942321777344,40.765380859375,1,N,-73.96630859375,40.763088226318359,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2015-12-01 00:00:00,2015-12-01 00:00:00,2,2.69,-73.972335815429687,40.762378692626953,1,N,-73.993629455566406,40.745998382568359,1,21.5,0,0.5,3.34,0,0.3,25.64
2,2015-12-01 00:00:00,2015-12-01 00:00:00,1,2.62,-73.968849182128906,40.764530181884766,1,N,-73.97454833984375,40.791641235351563,1,17,0,0.5,3.56,0,0.3,21.36
1,2015-12-01 00:00:01,2015-12-01 00:05:56,1,1.20,-73.993934631347656,40.741683959960937,1,N,-73.997665405273438,40.747467041015625,1,6.5,0.5,0.5,0.2,0,0.3,8
1,2015-12-01 00:00:01,2015-12-01 00:09:28,2,3.00,-73.988922119140625,40.72698974609375,1,N,-73.975593566894531,40.696868896484375,2,11,0.5,0.5,0,0,0.3,12.3
1,2015-12-01 00:00:02,2015-12-01 00:16:12,1,6.30,-73.974082946777344,40.762912750244141,1,N,-74.012802124023438,40.70220947265625,1,20.5,0.5,0.5,4.35,0,0.3,26.15
2,2015-12-01 00:00:02,2015-12-01 00:02:49,6,.63,-73.968315124511719,40.755329132080078,1,N,-73.962081909179688,40.758914947509766,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2015-12-01 00:00:02,2015-12-01 00:08:06,2,1.91,-73.994209289550781,40.746101379394531,1,N,-74.004249572753906,40.721809387207031,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2015-12-01 00:00:02,2015-12-01 00:17:11,1,4.50,-74.006759643554687,40.718906402587891,1,N,-73.989692687988281,40.772853851318359,1,16.5,0.5,0.5,3.56,0,0.3,21.36
