VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-02-08 11:33:46,2015-02-08 11:37:45,1,.56,-73.949905395507813,40.717437744140625,1,N,-73.95001220703125,40.724010467529297,1,4.5,0,0.5,1.06,0,0.3,6.36
2,2015-02-28 23:52:39,2015-03-01 00:00:03,1,1.24,-73.983497619628906,40.756103515625,1,N,-73.989540100097656,40.767860412597656,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2015-02-28 23:52:39,2015-03-01 00:03:25,1,2.07,-74.003189086914063,40.733058929443359,1,N,-73.992362976074219,40.715099334716797,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2015-02-28 23:52:39,2015-03-01 00:04:58,1,2.29,-73.958549499511719,40.760478973388672,1,N,-73.979248046875,40.736660003662109,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-02-28 23:52:39,2015-03-01 00:00:16,1,1.36,-73.974052429199219,40.751335144042969,1,N,-73.981788635253906,40.763149261474609,1,7,0.5,0.5,1,0,0.3,9.3
2,2015-02-28 23:52:40,2015-02-28 23:57:53,1,.96,-73.981010437011719,40.729751586914063,1,N,-73.975822448730469,40.74066162109375,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2015-02-28 23:52:40,2015-03-01 00:02:30,1,2.58,-73.9912109375,40.740573883056641,1,N,-73.982345581054687,40.768836975097656,2,10,0.5,0.5,0,0,0.3,11.3
2,2015-02-28 23:52:40,2015-02-28 23:58:46,6,1.21,-73.980613708496094,40.733860015869141,1,N,-73.992637634277344,40.744529724121094,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2015-02-28 23:52:41,2015-03-01 00:07:55,1,4.95,-73.946861267089844,40.785118103027344,1,N,-73.986915588378906,40.732448577880859,2,17,0.5,0.5,0,0,0.3,18.3
