vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount

VTS,2012-10-01 07:57:00,2012-10-01 08:09:00,1,3.0099999999999998,-73.994532000000007,40.755887000000001,1,,-74.009990000000002,40.721494999999997,CRD,12.5,0,0.5,2,0,15
VTS,2012-10-01 07:57:00,2012-10-01 08:08:00,1,1.5600000000000001,-73.956346999999994,40.767488,1,,-73.954065,40.784652000000001,CSH,9,0,0.5,0,0,9.5
VTS,2012-10-01 07:57:00,2012-10-01 08:08:00,1,1.23,-73.962950000000006,40.772382,1,,-73.946950000000001,40.771946999999997,CSH,9,0,0.5,0,0,9.5
VTS,2012-10-01 07:57:00,2012-10-01 08:10:00,1,0.27000000000000002,-74.007671999999999,40.732267,1,,-73.979212000000004,40.752642000000002,CSH,12,0,0.5,0,0,12.5
VTS,2012-10-01 07:57:00,2012-10-01 08:25:00,1,2.9500000000000002,-73.966341999999997,40.793354999999998,1,,-73.954012000000006,40.766401999999999,CSH,18,0,0.5,0,0,18.5
CMT,2012-10-01 07:57:08,2012-10-01 08:10:03,1,2.2000000000000002,-73.976149000000007,40.788201999999998,1,N,-73.972713999999996,40.761926000000003,CRD,11,0,0.5,1,0,12.5
CMT,2012-10-01 07:57:09,2012-10-01 08:03:49,1,1.5,-73.958729000000005,40.781035000000003,1,N,-73.968886999999995,40.764451000000001,CRD,7.5,0,0.5,1.2,0,9.1999999999999993
CMT,2012-10-01 07:57:12,2012-10-01 08:14:33,1,3,-73.967502999999994,40.757398000000002,1,N,-74.002775,40.743156999999997,CSH,13.5,0,0.5,0,0,14
