vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt

CMT,2009-03-26 15:30:14,2009-03-26 15:33:45,1,0.29999999999999999,-73.970708999999999,40.796382000000001,,0,-73.973602,40.792057999999997,Cash,4.0999999999999996,0,,0,0,4.0999999999999996
CMT,2009-03-07 00:09:04,2009-03-07 00:16:06,1,1.6000000000000001,-74.007315000000006,40.739964000000001,,,-74.004716999999999,40.751879000000002,Cash,7,0,,0,0,7
DDS,2009-03-11 19:49:43,2009-03-11 20:00:51,1,2,-73.976375000000004,40.756729,,,-73.954438999999994,40.767204999999997,CASH,8.0999999999999996,0.5,,0,0,8.5999999999999996
CMT,2009-03-06 22:09:53,2009-03-06 22:16:55,3,1.6000000000000001,-73.990624999999994,40.751452999999998,,,-74.008426999999998,40.746578999999997,Cash,7,0,,0,0,7
CMT,2009-03-06 22:55:45,2009-03-06 23:11:35,2,3.7999999999999998,-73.993797999999998,40.734164,,,-73.958811999999995,40.769911,Cash,12.6,0,,0,0,12.6
CMT,2009-03-07 01:15:45,2009-03-07 01:19:42,1,0.69999999999999996,-73.967421000000002,40.780917000000002,,,-73.968086999999997,40.771853,Cash,5.4000000000000004,0,,0,0,5.4000000000000004
CMT,2009-03-07 22:21:28,2009-03-07 22:21:35,1,0,-73.961619999999996,40.756548000000002,,,-73.961616000000006,40.756565999999999,No Charge,3,0,,0,0,3
CMT,2009-03-01 07:27:29,2009-03-01 07:31:13,1,0.90000000000000002,-73.933819,40.854028,,0,-73.939632000000003,40.841354000000003,Cash,4.5,0,,0,0,4.5
